Tick,RunF64,RunF32,RunI64,RunI32
M:42 N:30,0.00038425,0.00036733,0.00036877,0.00035646
M:42 N:31,0.00037891,0.00035065,0.00034622,0.00034244
M:42 N:32,0.00036552,0.0003923,0.00036442,0.00035909
M:42 N:33,0.00039528,0.00043416,0.00038166,0.00038386
M:42 N:34,0.00041547,0.0004025,0.00040383,0.00037767
M:42 N:35,0.0004025,0.00040113,0.00038598,0.00038644
M:42 N:36,0.00044634,0.00040759,0.00041091,0.00039717
M:42 N:37,0.00042593,0.00042475,0.00040946,0.00040446
M:42 N:38,0.00045078,0.00045442,0.00043592,0.00043461
M:42 N:39,0.0004433,0.00044939,0.00045541,0.00043314
M:42 N:40,0.00046668,0.00046323,0.0004543,0.0004468
M:42 N:41,0.00047528,0.00046545,0.00047493,0.00044962
M:42 N:42,0.00049928,0.00049052,0.000476,0.00047866
M:43 N:1,1.922e-05,2.168e-05,2.168e-05,2.048e-05
M:43 N:2,3.042e-05,2.994e-05,3.267e-05,2.93e-05
M:43 N:3,4.217e-05,4.349e-05,4.261e-05,4.069e-05
M:43 N:4,5.694e-05,5.618e-05,5.267e-05,5.511e-05
M:43 N:5,6.921e-05,6.821e-05,7.07e-05,6.73e-05
M:43 N:6,8.35e-05,8.129e-05,8.316e-05,7.829e-05
M:43 N:7,9.195e-05,9.674e-05,9.603e-05,9.547e-05
M:43 N:8,0.00010701,0.0001043,9.843e-05,0.00010363
M:43 N:9,0.00012284,0.00011818,0.00011771,0.00011411
M:43 N:10,0.00013389,0.00012727,0.00013047,0.00012071
M:43 N:11,0.00013762,0.00013659,0.00013569,0.00013128
M:43 N:12,0.00015284,0.00015441,0.00016282,0.00014666
M:43 N:13,0.00016077,0.00016469,0.00016126,0.00015515
M:43 N:14,0.00017372,0.00017794,0.0001756,0.00016722
M:43 N:15,0.00018951,0.00018028,0.00017735,0.0001777
M:43 N:16,0.00019843,0.00019394,0.00019122,0.00018805
M:43 N:17,0.00021123,0.00021189,0.00020227,0.00019869
M:43 N:18,0.0002193,0.00021914,0.00021199,0.00021136
M:43 N:19,0.00024331,0.00023997,0.00023508,0.00023344
M:43 N:20,0.00025053,0.0002557,0.00024692,0.00024586
M:43 N:21,0.00025585,0.00024976,0.00024737,0.00024248
M:43 N:22,0.00026672,0.00026539,0.00025921,0.00025744
M:43 N:23,0.00028393,0.00027812,0.00026765,0.00026719
M:43 N:24,0.00028956,0.00028504,0.00028308,0.00028222
M:43 N:25,0.00030412,0.00029626,0.00030304,0.0002922
M:43 N:26,0.00031458,0.0003087,0.00030503,0.00030065
M:43 N:27,0.00032768,0.00035003,0.00031529,0.00031881
M:43 N:28,0.00033624,0.00033705,0.00032785,0.00032428
M:43 N:29,0.00035518,0.00035,0.00033751,0.00033519
M:43 N:30,0.00036128,0.00035599,0.00035653,0.00034475
