Tick,RunF64,RunF32,RunI64,RunI32
M:38 N:21,3.604e-05,3.568e-05,3.08e-05,3.632e-05
M:38 N:22,3.617e-05,3.882e-05,3.759e-05,3.79e-05
M:38 N:23,3.79e-05,4.019e-05,3.335e-05,3.95e-05
M:38 N:24,4.011e-05,4.131e-05,3.507e-05,4.086e-05
M:38 N:25,4.13e-05,4.355e-05,3.71e-05,4.252e-05
M:38 N:26,4.365e-05,4.626e-05,4.624e-05,4.409e-05
M:38 N:27,4.545e-05,4.708e-05,3.892e-05,4.553e-05
M:38 N:28,4.661e-05,4.91e-05,4.009e-05,4.71e-05
M:38 N:29,4.805e-05,5.121e-05,4.166e-05,4.874e-05
M:38 N:30,5.174e-05,5.322e-05,4.726e-05,5e-05
M:38 N:31,5.165e-05,5.438e-05,4.414e-05,5.144e-05
M:38 N:32,5.584e-05,6.044e-05,4.606e-05,5.28e-05
M:38 N:33,5.736e-05,5.88e-05,5.46e-05,6.241e-05
M:38 N:34,6.418e-05,6.492e-05,5.764e-05,6.508e-05
M:38 N:35,6.539e-05,6.667e-05,5.726e-05,6.612e-05
M:38 N:36,6.741e-05,6.877e-05,5.89e-05,6.772e-05
M:38 N:37,7.014e-05,7.108e-05,6.115e-05,6.962e-05
M:38 N:38,7.272e-05,7.327e-05,6.176e-05,7.191e-05
M:39 N:1,4.65e-06,4.57e-06,5.83e-06,5.74e-06
M:39 N:2,6.4e-06,6.32e-06,6.47e-06,7.66e-06
M:39 N:3,8.03e-06,8.04e-06,7.95e-06,9.53e-06
M:39 N:4,9.47e-06,9.5e-06,9.53e-06,1.106e-05
M:39 N:5,1.062e-05,1.071e-05,1.063e-05,1.246e-05
M:39 N:6,1.225e-05,1.242e-05,1.201e-05,1.423e-05
M:39 N:7,1.376e-05,1.411e-05,1.322e-05,1.577e-05
M:39 N:8,1.557e-05,1.552e-05,1.434e-05,1.732e-05
M:39 N:9,1.709e-05,1.7e-05,1.578e-05,1.881e-05
M:39 N:10,1.884e-05,1.86e-05,1.711e-05,2.033e-05
M:39 N:11,2.091e-05,2.03e-05,1.851e-05,2.213e-05
M:39 N:12,2.265e-05,2.182e-05,1.979e-05,2.335e-05
M:39 N:13,2.331e-05,2.332e-05,2.097e-05,2.505e-05
M:39 N:14,2.53e-05,2.521e-05,2.286e-05,2.743e-05
M:39 N:15,2.643e-05,2.685e-05,2.418e-05,2.842e-05
M:39 N:16,2.84e-05,2.863e-05,2.551e-05,2.983e-05
M:39 N:17,2.99e-05,3.033e-05,2.688e-05,3.486e-05
M:39 N:18,3.406e-05,3.443e-05,2.988e-05,3.57e-05
M:39 N:19,3.687e-05,3.408e-05,2.941e-05,3.471e-05
M:39 N:20,3.494e-05,3.611e-05,3.087e-05,3.619e-05
M:39 N:21,3.693e-05,4.322e-05,3.26e-05,3.808e-05
M:39 N:22,3.845e-05,4.038e-05,3.403e-05,4.001e-05
M:39 N:23,3.975e-05,4.17e-05,3.543e-05,4.103e-05
M:39 N:24,4.201e-05,4.381e-05,3.713e-05,4.299e-05
M:39 N:25,4.338e-05,4.56e-05,3.841e-05,4.451e-05
M:39 N:26,4.614e-05,4.8e-05,3.959e-05,5.655e-05
M:39 N:27,7.514e-05,5.302e-05,4.427e-05,5.078e-05
M:39 N:28,4.968e-05,5.403e-05,4.231e-05,4.94e-05
M:39 N:29,5.098e-05,5.356e-05,4.376e-05,5.078e-05
M:39 N:30,5.25e-05,6.503e-05,4.551e-05,5.622e-05
M:39 N:31,6.677e-05,5.883e-05,4.738e-05,5.776e-05
M:39 N:32,6.04e-05,5.98e-05,5.004e-05,5.669e-05
M:39 N:33,5.868e-05,6.134e-05,5.762e-05,6.663e-05
M:39 N:34,7.941e-05,7.255e-05,6.359e-05,0.00010336
M:39 N:35,8.655e-05,7.538e-05,6.456e-05,7.743e-05
